column,golden_exists,parity_exists,golden_non_null_pct,parity_non_null_pct
dbg_breakout_level,True,False,100.0,0.0
dbg_effective_valid_from_policy,True,True,100.0,100.0
dbg_exit_ts_ny,True,False,100.0,0.0
dbg_inside_ts,True,False,100.0,0.0
dbg_mother_high,True,False,100.0,0.0
dbg_mother_low,True,False,100.0,0.0
dbg_mother_range,True,False,100.0,0.0
dbg_mother_ts,True,False,100.0,0.0
dbg_order_expire_reason,True,False,3.825136612021858,0.0
dbg_order_expired,True,False,100.0,0.0
dbg_signal_ts_berlin,True,False,100.0,0.0
dbg_signal_ts_ny,True,False,100.0,0.0
dbg_trigger_ts,True,False,100.0,0.0
dbg_valid_from_ts,True,True,96.17486338797814,100.0
dbg_valid_from_ts_ny,True,True,96.17486338797814,100.0
dbg_valid_from_ts_utc,True,True,96.17486338797814,100.0
dbg_valid_to_ts,True,True,96.17486338797814,100.0
dbg_valid_to_ts_ny,True,True,96.17486338797814,100.0
dbg_valid_to_ts_utc,True,True,96.17486338797814,100.0
