day_ny,intents_g,intents_p,common,only_golden,only_parity,entry_sl_tp_diff_count
2025-07-29,1,1,1,0,0,0
2025-07-30,1,1,1,0,0,0
2025-07-31,1,1,1,0,0,0
2025-08-01,2,2,2,0,0,0
2025-08-04,1,1,1,0,0,0
2025-08-05,2,2,2,0,0,0
2025-08-06,2,2,2,0,0,0
2025-08-07,2,2,2,0,0,0
2025-08-08,1,1,1,0,0,0
2025-08-11,1,1,1,0,0,0
2025-08-12,2,2,2,0,0,0
2025-08-13,1,1,1,0,0,0
2025-08-14,2,2,2,0,0,0
2025-08-15,1,1,1,0,0,0
2025-08-18,1,1,1,0,0,0
2025-08-20,2,2,2,0,0,0
2025-08-21,1,1,1,0,0,0
2025-08-22,2,2,2,0,0,0
2025-08-25,1,1,1,0,0,0
2025-08-26,2,2,2,0,0,0
2025-08-28,2,2,2,0,0,0
2025-08-29,1,1,1,0,0,0
2025-09-02,2,2,2,0,0,0
2025-09-03,1,1,1,0,0,0
2025-09-04,2,2,2,0,0,0
2025-09-05,1,1,1,0,0,0
2025-09-08,2,2,2,0,0,0
2025-09-09,2,2,2,0,0,0
2025-09-10,2,2,2,0,0,0
2025-09-11,1,1,1,0,0,0
2025-09-12,1,1,1,0,0,0
2025-09-15,2,2,2,0,0,0
2025-09-16,1,1,1,0,0,0
2025-09-17,2,2,2,0,0,0
2025-09-18,1,1,1,0,0,0
2025-09-19,1,1,1,0,0,0
2025-09-22,1,1,1,0,0,0
2025-09-23,1,1,1,0,0,0
2025-09-24,2,2,2,0,0,0
2025-09-25,2,2,2,0,0,0
2025-09-26,1,1,1,0,0,0
2025-09-29,1,1,1,0,0,0
2025-09-30,2,2,2,0,0,0
2025-10-02,2,2,2,0,0,0
2025-10-03,1,1,1,0,0,0
2025-10-06,1,1,1,0,0,0
2025-10-07,1,1,1,0,0,0
2025-10-08,1,1,1,0,0,0
2025-10-09,1,1,1,0,0,0
2025-10-10,2,2,2,0,0,0
2025-10-13,1,1,1,0,0,0
2025-10-14,2,2,2,0,0,0
2025-10-15,1,1,1,0,0,0
2025-10-16,2,2,2,0,0,3
